"model","AIC","BIC","n"
"null",4342.05413652939,4356.05500690667,786
"linear",4227.51401567552,4246.18184284524,786
"quadratic",4214.86028261095,4238.19506657309,786
"log",4229.68532381562,4248.35315098534,786
