"time","mean"
0,83.7040528096911
0.042395205050505,83.6351644213093
0.0847904101010101,83.5670702745396
0.127185615151515,83.4997703693821
0.16958082020202,83.4332647058368
0.211976025252525,83.3675532839037
0.25437123030303,83.3026361035827
0.296766435353535,83.2385131648739
0.33916164040404,83.1751844677772
0.381556845454545,83.1126500122927
0.42395205050505,83.0509097984204
0.466347255555556,82.9899638261602
0.508742460606061,82.9298120955122
0.551137665656566,82.8704546064764
0.593532870707071,82.8118913590527
0.635928075757576,82.7541223532412
0.678323280808081,82.6971475890419
0.720718485858586,82.6409670664547
0.763113690909091,82.5855807854797
0.805508895959596,82.5309887461168
0.847904101010101,82.4771909483662
0.890299306060606,82.4241873922276
0.932694511111111,82.3719780777013
0.975089716161616,82.3205630047871
1.01748492121212,82.2699421734851
1.05988012626263,82.2201155837952
1.10227533131313,82.1710832357175
1.14467053636364,82.122845129252
1.18706574141414,82.0754012643986
1.22946094646465,82.0287516411574
1.27185615151515,81.9828962595283
1.31425135656566,81.9378351195115
1.35664656161616,81.8935682211068
1.39904176666667,81.8500955643142
1.44143697171717,81.8074171491338
1.48383217676768,81.7655329755656
1.52622738181818,81.7244430436096
1.56862258686869,81.6841473532657
1.61101779191919,81.6446459045339
1.6534129969697,81.6059386974144
1.6958082020202,81.568025731907
1.73820340707071,81.5309070080117
1.78059861212121,81.4945825257287
1.82299381717172,81.4590522850578
1.86538902222222,81.424316285999
1.90778422727273,81.3903745285524
1.95017943232323,81.357227012718
1.99257463737374,81.3248737384958
2.03496984242424,81.2933147058857
2.07736504747475,81.2625499148878
2.11976025252525,81.232579365502
2.16215545757576,81.2034030577284
2.20455066262626,81.175020991567
2.24694586767677,81.1474331670177
2.28934107272727,81.1206395840806
2.33173627777778,81.0946402427557
2.37413148282828,81.0694351430429
2.41652668787879,81.0450242849423
2.45892189292929,81.0214076684539
2.5013170979798,80.9985852935776
2.5437123030303,80.9765571603135
2.58610750808081,80.9553232686615
2.62850271313131,80.9348836186218
2.67089791818182,80.9152382101941
2.71329312323232,80.8963870433787
2.75568832828283,80.8783301181754
2.79808353333333,80.8610674345843
2.84047873838384,80.8445989926053
2.88287394343434,80.8289247922385
2.92526914848485,80.8140448334838
2.96766435353535,80.7999591163414
3.01005955858586,80.7866676408111
3.05245476363636,80.7741704068929
3.09484996868687,80.762467414587
3.13724517373737,80.7515586638931
3.17964037878788,80.7414441548115
3.22203558383838,80.732123887342
3.26443078888889,80.7235978614847
3.30682599393939,80.7158660772395
3.3492211989899,80.7089285346065
3.3916164040404,80.7027852335857
3.43401160909091,80.697436174177
3.47640681414141,80.6928813563805
3.51880201919192,80.6891207801962
3.56119722424242,80.686154445624
3.60359242929293,80.683982352664
3.64598763434343,80.6826045013162
3.68838283939394,80.6820208915805
3.73077804444444,80.682231523457
3.77317324949495,80.6832363969456
3.81556845454545,80.6850355120465
3.85796365959596,80.6876288687594
3.90035886464646,80.6910164670846
3.94275406969697,80.6951983070219
3.98514927474747,80.7001743885714
4.02754447979798,80.705944711733
4.06993968484849,80.7125092765068
4.11233488989899,80.7198680828928
4.1547300949495,80.7280211308909
4.1971253,80.7369684205012
